run,step,difficulty,cells,score,model_calls,tool_calls,tool_calls_median,tool_calls_p90,repeats,repeat_fraction,repeat_rollout_fraction,short_tool_fraction,budget_fraction,python_fraction,answer_path_fraction,tool_error_text_fraction,submission_fraction,submission_observations,trainable_tokens,wall_s,retry_cells,training_rows,packed_tokens
Harbor OpenCode-only,0,easy,132,0.4015151515151515,11.43939393939394,10.037878787878787,9.0,17.0,0.5378787878787878,0.04280062258003434,0.2803030303030303,0.10606060606060606,0.29545454545454547,0.7272727272727273,0.6287878787878788,0.3939393939393939,0.7777777777777778,36,1347.689393939394,197.37515151515152,0,3.462121212121212,106132.51515151515
Harbor OpenCode-only,0,hard,396,0.06313131313131314,14.926767676767676,13.972222222222221,16.0,18.0,0.5277777777777778,0.03536039196441673,0.3106060606060606,0.05303030303030303,0.6818181818181818,0.7727272727272727,0.31565656565656564,0.6565656565656566,0.3515625,128,3117.5353535353534,300.3289898989899,5,4.292929292929293,158614.65404040404
Harbor OpenCode-only,0,medium,472,0.1440677966101695,14.254237288135593,13.572033898305085,16.0,18.0,0.5127118644067796,0.034147748041146085,0.2648305084745763,0.06567796610169492,0.6207627118644068,0.798728813559322,0.3644067796610169,0.6483050847457628,0.3611111111111111,180,2774.4639830508477,273.17495762711866,6,4.163135593220339,141250.06991525425
Harbor OpenCode-only,100,easy,132,0.5,13.840909090909092,13.93939393939394,17.0,18.0,3.696969696969697,0.23140387778516355,0.6742424242424242,0.0,0.6287878787878788,0.9696969696969697,0.8484848484848485,0.3939393939393939,0.7777777777777778,36,1520.2727272727273,160.64651515151516,0,4.424242424242424,135707.05303030304
Harbor OpenCode-only,100,hard,396,0.10353535353535354,16.373737373737374,16.946969696969695,17.0,19.0,1.893939393939394,0.11147086153407622,0.5580808080808081,0.0,0.8888888888888888,0.9646464646464646,0.40404040404040403,0.7727272727272727,0.421875,128,3529.4570707070707,302.15959595959595,10,5.108585858585859,203949.1590909091
Harbor OpenCode-only,100,medium,472,0.2923728813559322,15.754237288135593,16.059322033898304,17.0,18.0,2.582627118644068,0.15455961387261238,0.6567796610169492,0.0,0.815677966101695,0.9682203389830508,0.5614406779661016,0.7542372881355932,0.55,180,3074.0254237288136,266.08033898305086,6,5.033898305084746,167436.80508474575
Harbor OpenCode-only,200,easy,132,0.6212121212121212,14.780303030303031,14.931818181818182,17.0,18.0,2.803030303030303,0.17419060180107185,0.6893939393939394,0.0,0.6666666666666666,0.9696969696969697,0.803030303030303,0.45454545454545453,0.8055555555555556,36,2004.0151515151515,182.47007575757576,1,4.886363636363637,150108.42424242425
Harbor OpenCode-only,200,hard,396,0.09343434343434344,16.38131313131313,17.23989898989899,17.0,19.0,1.3232323232323233,0.07787139040835915,0.5126262626262627,0.0025252525252525255,0.9015151515151515,0.9292929292929293,0.30808080808080807,0.7297979797979798,0.3515625,128,3795.3055555555557,302.7638383838384,3,5.116161616161616,205488.398989899
Harbor OpenCode-only,200,medium,472,0.3220338983050847,16.11864406779661,16.593220338983052,17.0,19.0,1.7055084745762712,0.10145528461083442,0.565677966101695,0.0,0.8283898305084746,0.972457627118644,0.5211864406779662,0.7690677966101694,0.5777777777777777,180,3543.3072033898306,281.685593220339,4,5.165254237288136,172365.45974576272
Harbor OpenCode-only,300,easy,132,0.6439393939393939,15.515151515151516,16.477272727272727,17.0,20.0,3.007575757575758,0.17679510585681427,0.75,0.0,0.7272727272727273,0.9848484848484849,0.8257575757575758,0.49242424242424243,0.8333333333333334,36,2195.8939393939395,209.41825757575756,1,4.96969696969697,161420.0909090909
