run,step,harness,reward,cells,score,model_calls,tool_calls,tool_calls_median,tool_calls_p90,repeats,repeat_fraction,repeat_rollout_fraction,short_tool_fraction,budget_fraction,python_fraction,answer_path_fraction,tool_error_text_fraction,submission_fraction,submission_observations,trainable_tokens,wall_s,retry_cells,training_rows,packed_tokens
Harbor OpenCode-only,0,claude-code,0,208,0.0,14.177884615384615,13.759615384615385,16.0,18.0,0.6009615384615384,0.03858411235582612,0.24519230769230768,0.028846153846153848,0.6105769230769231,0.7548076923076923,0.33653846153846156,0.7163461538461539,0.35294117647058826,68,3907.5673076923076,330.2196153846154,4,13.774038461538462,551784.2644230769
Harbor OpenCode-only,0,claude-code,1,42,1.0,8.642857142857142,7.428571428571429,7.0,13.799999999999997,0.30952380952380953,0.032916666666666664,0.16666666666666666,0.047619047619047616,0.07142857142857142,0.8333333333333334,0.9523809523809523,0.40476190476190477,1.0,18,1545.7142857142858,190.2461904761905,0,8.571428571428571,276973.14285714284
Harbor OpenCode-only,0,codex,0,209,0.0,15.167464114832535,15.014354066985646,17.0,20.0,0.5933014354066986,0.03703165718455073,0.3492822966507177,0.07655502392344497,0.7129186602870813,0.7416267942583732,0.2727272727272727,0.6172248803827751,0.23529411764705882,68,3264.622009569378,302.87047846889953,0,1.1483253588516746,20704.593301435405
Harbor OpenCode-only,0,codex,1,41,1.0,11.463414634146341,10.317073170731707,9.0,17.0,0.9024390243902439,0.06859963779468424,0.2926829268292683,0.0975609756097561,0.21951219512195122,0.8292682926829268,0.9024390243902439,0.36585365853658536,1.0,18,1723.5853658536585,212.49975609756098,0,1.0,12842.731707317073
Harbor OpenCode-only,0,mini-swe-agent,0,214,0.0,16.490654205607477,15.682242990654206,17.0,17.0,0.37850467289719625,0.024792598653963587,0.26635514018691586,0.037383177570093455,0.8878504672897196,0.8317757009345794,0.2102803738317757,0.677570093457944,0.20833333333333334,72,2659.411214953271,232.60500000000002,4,1.1682242990654206,17348.168224299065
Harbor OpenCode-only,0,mini-swe-agent,1,36,1.0,13.277777777777779,12.0,12.0,16.0,0.5555555555555556,0.040360410927019925,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.9166666666666666,0.9444444444444444,0.3888888888888889,1.0,14,1411.1666666666667,198.5597222222222,0,1.7222222222222223,15965.027777777777
Harbor OpenCode-only,0,opencode,0,223,0.0,13.179372197309418,11.448430493273543,14.0,18.0,0.5246636771300448,0.038140999359143606,0.3094170403587444,0.10762331838565023,0.4977578475336323,0.7488789237668162,0.33183856502242154,0.6322869955156951,0.3291139240506329,79,2014.8161434977578,275.3364125560538,3,1.1973094170403586,31591.430493273543
Harbor OpenCode-only,0,opencode,1,27,1.0,9.296296296296296,6.962962962962963,7.0,12.400000000000002,0.18518518518518517,0.022289986228605157,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.7407407407407407,0.8518518518518519,0.2962962962962963,1.0,7,818.4814814814815,255.86296296296297,0,1.3703703703703705,33369.59259259259
Harbor OpenCode-only,100,claude-code,0,187,0.0,15.737967914438503,16.27807486631016,17.0,19.0,2.1176470588235294,0.1291534628941908,0.5935828877005348,0.0,0.8074866310160428,0.9251336898395722,0.49732620320855614,0.8235294117647058,0.4067796610169492,59,4037.96256684492,313.77401069518714,1,15.657754010695188,648994.1336898396
Harbor OpenCode-only,100,claude-code,1,63,1.0,14.428571428571429,14.428571428571429,17.0,18.0,4.523809523809524,0.2769899738859863,0.7936507936507936,0.0,0.6507936507936508,0.9682539682539683,1.0,0.6031746031746031,1.0,27,2466.5714285714284,204.84666666666666,0,14.428571428571429,486554.4603174603
Harbor OpenCode-only,100,codex,0,174,0.0,16.028735632183906,17.339080459770116,17.0,21.0,1.528735632183908,0.09085112631089642,0.5229885057471264,0.0,0.8735632183908046,0.9482758620689655,0.3333333333333333,0.7816091954022989,0.2982456140350877,57,3815.8333333333335,325.60994252873564,1,1.0804597701149425,18601.24712643678
Harbor OpenCode-only,100,codex,1,76,1.0,14.276315789473685,15.06578947368421,17.0,19.0,4.868421052631579,0.2914163040013415,0.8947368421052632,0.0,0.618421052631579,0.9868421052631579,1.0,0.5263157894736842,1.0,29,2114.3815789473683,194.9973684210526,1,1.0657894736842106,14216.197368421053
Harbor OpenCode-only,100,mini-swe-agent,0,199,0.0,16.08542713567839,16.0,17.0,17.0,0.7437185929648241,0.04511599675655248,0.3969849246231156,0.0,0.8442211055276382,0.9698492462311558,0.23618090452261306,0.7236180904522613,0.208955223880597,67,2407.542713567839,232.3070854271357,8,1.0954773869346734,13758.788944723618
Harbor OpenCode-only,100,mini-swe-agent,1,51,1.0,11.529411764705882,11.509803921568627,10.0,17.0,1.1372549019607843,0.08078258406978131,0.43137254901960786,0.0,0.2549019607843137,1.0,1.0,0.3333333333333333,1.0,19,1096.235294117647,134.96882352941176,3,1.0588235294117647,6834.176470588235
Harbor OpenCode-only,100,opencode,0,195,0.0,16.907692307692308,16.984615384615385,17.0,18.0,3.082051282051282,0.1810856795996115,0.7435897435897436,0.0,0.9897435897435898,0.9948717948717949,0.48205128205128206,0.8,0.43548387096774194,62,3563.723076923077,307.79835897435896,1,2.471794871794872,79324.01025641026
Harbor OpenCode-only,100,opencode,1,55,1.0,17.0,16.963636363636365,17.0,17.0,6.054545454545455,0.35768012946805516,0.9818181818181818,0.0,1.0,1.0,1.0,0.5272727272727272,1.0,24,1531.0,186.55,1,2.2363636363636363,51286.61818181818
Harbor OpenCode-only,200,claude-code,0,179,0.0,15.843575418994414,16.54189944134078,17.0,19.0,1.223463687150838,0.07660509892269075,0.45251396648044695,0.00558659217877095,0.8435754189944135,0.9050279329608939,0.3128491620111732,0.7932960893854749,0.3392857142857143,56,4604.905027932961,313.4882122905028,0,15.776536312849162,641328.3743016759
Harbor OpenCode-only,200,claude-code,1,71,1.0,14.873239436619718,14.95774647887324,17.0,18.0,3.3661971830985915,0.20944526997540122,0.7605633802816901,0.0,0.6056338028169014,0.971830985915493,1.0,0.6338028169014085,1.0,30,3193.9154929577467,231.5656338028169,1,14.873239436619718,524254.04225352115
Harbor OpenCode-only,200,codex,0,173,0.0,16.67630057803468,18.36416184971098,18.0,21.0,1.4046242774566473,0.07753095167875124,0.4682080924855491,0.0,0.9248554913294798,0.9421965317919075,0.2658959537572254,0.7803468208092486,0.25,56,4099.884393063584,316.54907514450866,0,1.0578034682080926,20914.49710982659
Harbor OpenCode-only,200,codex,1,77,1.0,14.233766233766234,14.805194805194805,17.0,18.400000000000006,3.6363636363636362,0.22335010469986946,0.8571428571428571,0.0,0.5584415584415584,0.974025974025974,1.0,0.44155844155844154,1.0,30,2143.116883116883,188.35792207792207,0,1.0129870129870129,13293.25974025974
Harbor OpenCode-only,200,mini-swe-agent,0,200,0.0,16.525,16.47,17.0,17.0,0.67,0.040635387488328664,0.37,0.0,0.885,0.96,0.205,0.72,0.24615384615384617,65,2534.265,224.93630000000002,5,1.065,16091.62
Harbor OpenCode-only,200,mini-swe-agent,1,50,1.0,13.1,12.96,13.0,17.0,1.08,0.07548262848262849,0.54,0.0,0.38,1.0,1.0,0.3,1.0,21,1436.68,153.934,1,1.14,9409.36
Harbor OpenCode-only,200,opencode,0,177,0.0,16.819209039548024,17.43502824858757,17.0,19.0,1.5819209039548023,0.0906328115726237,0.615819209039548,0.0,0.9774011299435028,0.9717514124293786,0.3389830508474576,0.8192090395480226,0.3090909090909091,55,3841.7909604519773,338.96146892655366,1,2.7288135593220337,89303.62711864407
